(5, 9, 12, 17, 26, 31)
(5, 12, 27, 30, 36, 40)
(4, 8, 10, 11, 27, 33)
(9, 13, 14, 17, 32, 34)
(9, 11, 24, 27, 39, 40)
(1, 5, 8, 10, 19, 30)
(13, 18, 20, 23, 32, 38)
(6, 18, 23, 34, 38, 39)
(2, 4, 13, 18, 19, 35)
(3, 15, 23, 28, 30, 32)
(11, 13, 26, 27, 30, 39)
(2, 4, 11, 15, 16, 34)
(16, 18, 21, 33, 38, 40)
(6, 15, 16, 22, 37, 39)
(16, 19, 22, 24, 26, 39)
(14, 21, 23, 28, 30, 38)
(4, 20, 23, 27, 28, 40)
(2, 5, 23, 34, 37, 38)
(9, 10, 16, 22, 31, 38)
(1, 2, 13, 25, 33, 38)
(1, 2, 9, 21, 28, 38)
(5, 6, 13, 33, 36, 38)
(9, 16, 22, 31, 33, 37)
(1, 4, 11, 27, 29, 36)
(2, 4, 9, 33, 37, 40)
(5, 6, 12, 23, 33, 37)
(8, 12, 15, 20, 28, 29)
(1, 2, 15, 18, 32, 39)
(6, 8, 21, 23, 34, 35)
(12, 21, 22, 29, 31, 36)
(1, 9, 29, 34, 35, 40)
(14, 17, 23, 24, 27, 33)
(2, 18, 23, 24, 29, 33)
(2, 12, 15, 26, 35, 40)
(3, 8, 13, 28, 29, 33)
(1, 15, 22, 23, 32, 39)
