(3, 8, 9, 21, 36, 43)
(5, 7, 14, 26, 41, 53)
(5, 16, 32, 38, 43, 44)
(8, 18, 24, 41, 43, 52)
(4, 11, 32, 41, 43, 46)
(4, 24, 32, 33, 40, 49)
(7, 18, 35, 40, 44, 52)
(2, 11, 15, 24, 29, 48)
(9, 26, 29, 35, 40, 47)
(7, 8, 11, 22, 32, 43)
(21, 28, 39, 44, 45, 49)
(6, 13, 16, 18, 23, 38)
(17, 21, 22, 29, 32, 45)
(5, 10, 13, 28, 47, 48)
(16, 17, 23, 29, 34, 38)
(6, 9, 16, 18, 29, 30)
(1, 11, 36, 39, 48, 53)
(1, 9, 22, 32, 50, 53)
(3, 19, 28, 34, 46, 53)
(1, 11, 26, 34, 37, 40)
(3, 4, 10, 13, 15, 47)
(2, 24, 29, 42, 47, 52)
(3, 17, 25, 28, 36, 40)
(22, 25, 28, 39, 42, 47)
(8, 10, 18, 39, 41, 52)
(3, 17, 24, 25, 28, 52)
(16, 21, 27, 35, 44, 49)
(9, 13, 18, 23, 29, 44)
(3, 12, 14, 17, 19, 35)
(8, 11, 30, 42, 44, 51)
(7, 20, 22, 32, 42, 53)
(4, 10, 11, 20, 33, 37)
(1, 17, 19, 22, 40, 52)
(2, 24, 35, 41, 44, 46)
(17, 30, 37, 42, 51, 53)
(11, 14, 16, 19, 27, 52)
(6, 9, 33, 44, 46, 47)
(1, 22, 25, 33, 35, 42)
(2, 4, 11, 20, 41, 44)
(7, 8, 11, 17, 38, 49)
(1, 25, 41, 42, 46, 49)
(8, 16, 18, 27, 32, 45)
(9, 25, 30, 32, 36, 50)
(5, 17, 28, 33, 51, 52)
(5, 15, 16, 40, 47, 50)
(4, 5, 24, 34, 41, 45)
(10, 23, 36, 44, 47, 51)
(19, 24, 25, 27, 29, 42)
(3, 14, 17, 27, 40, 45)
(10, 13, 21, 33, 51, 52)
(9, 12, 23, 27, 31, 34)
(1, 3, 8, 24, 28, 53)
(4, 10, 13, 39, 45, 51)
(6, 15, 19, 20, 41, 43)
(2, 3, 10, 13, 22, 45)
(1, 4, 14, 16, 21, 33)
(18, 20, 21, 23, 25, 53)
(4, 11, 14, 17, 22, 33)
(1, 8, 13, 17, 30, 41)
(2, 14, 23, 24, 36, 49)
(12, 17, 25, 29, 30, 45)
(5, 8, 11, 16, 39, 42)
(14, 15, 31, 38, 44, 52)
(9, 10, 15, 34, 41, 51)
(6, 12, 19, 38, 43, 46)
(11, 28, 30, 36, 37, 48)
(12, 23, 27, 29, 30, 44)
(8, 13, 32, 38, 41, 53)
(3, 18, 19, 28, 39, 41)
(8, 28, 32, 37, 39, 45)
(4, 13, 28, 40, 41, 51)
(6, 19, 22, 32, 35, 40)
(1, 17, 38, 41, 42, 45)
(7, 10, 22, 37, 45, 53)
(8, 11, 19, 28, 29, 46)
(20, 26, 30, 33, 37, 42)
(2, 4, 19, 29, 43, 53)
(9, 15, 21, 36, 42, 46)
(5, 20, 31, 42, 47, 48)
(13, 26, 34, 37, 39, 49)
(9, 22, 29, 31, 51, 52)
(7, 31, 34, 37, 38, 43)
(3, 11, 16, 20, 31, 37)
(24, 28, 31, 34, 46, 51)
(15, 21, 39, 48, 49, 52)
(16, 21, 26, 27, 33, 50)
(11, 15, 22, 29, 47, 52)
(10, 13, 28, 29, 45, 52)
(13, 17, 24, 34, 42, 50)
(2, 10, 36, 42, 45, 47)
(1, 14, 16, 34, 37, 41)
